BACKLIGHTSUN,BACKLIGHTSUN_classes,Coordinates,Coordinates_Joined,DARKNESS,DARKNESS_classes,Datetime,Elevation,Latitude,Longitude,MOTIONBLUR,MOTIONBLUR_classes,Open_Data,Precipitation,RAIN,RAIN_classes,RoadTypes,Scope_Probability,Scope_Probability_Verbose,SignType,Speed,Temperature,Unnamed: 0,VGG_is_correct,VGG_probabilities,VG_labels,class,detailed_class,env_probability ,formattedTime,full_img_pth,geo_probability,hour,img_id,month,rain_sensor,sun_altitude,temp_probability,velocity
0,0,"(48.82249251743029, 12.531508687488099)","(12.5315086874881, 48.822492517430284)",0,0,1552991620,368,48.82249252,12.53150869,25,1,"{""place_id"":20028080,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":1929200596,""lat"":""48.8229927"",""lon"":""12.5318606"",""place_rank"":30,""category"":""amenity"",""type"":""place_of_worship"",""importance"":""0"",""addresstype"":""amenity"",""name"":""Zur Schmerzhaften Muttergottes"",""display_name"":""Zur Schmerzhaften Muttergottes, SR 23, Aign, Feldkirchen, Landkreis Straubing-Bogen, NB, Bayern, 94351, Deutschland"",""address"":{""place_of_worship"":""Zur Schmerzhaften Muttergottes"",""road"":""SR 23"",""suburb"":""Aign"",""village"":""Feldkirchen"",""county"":""Landkreis Straubing-Bogen"",""state_district"":""NB"",""state"":""Bayern"",""postcode"":""94351"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.8228927"",""48.8230927"",""12.5317606"",""12.5319606""]}",1.398667915,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",10,111.2396571,2.496950985,11342,TRUE,0.999999404,10,MOTIONBLUR,MOTIONBLUR,0,2019-03-19 10:33,1557742475_2746_UC2_MOTIONBLUR-25.png,1,7.990175051,1557742475_2746,3,1.105821507,0.036874644,1,68.25630641
0,0,"(53.78758225988896, 12.635175848182428)","(12.635175848182428, 53.787582259888964)",0,0,1536566114,44,53.78758226,12.63517585,25,1,"{""place_id"":92859106,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":73015079,""lat"":""53.7870926985156"",""lon"":""12.6351830509414"",""place_rank"":26,""category"":""highway"",""type"":""track"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Hohen Mistorfer Weg"",""display_name"":""Hohen Mistorfer Weg, Alt Sührkow, Mecklenburgische Schweiz, Rostock, Mecklenburg-Vorpommern, 17166, Deutschland"",""address"":{""road"":""Hohen Mistorfer Weg"",""village"":""Alt Sührkow"",""county"":""Mecklenburgische Schweiz"",""state"":""Mecklenburg-Vorpommern"",""postcode"":""17166"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""53.7852657"",""53.7873384"",""12.6331782"",""12.6700085""]}",1.631307472,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",2,22.07386163,0.411227824,11774,FALSE,0.24617216,5,MOTIONBLUR,MOTIONBLUR,0,2018-09-10 07:55,1557742475_435_UC2_MOTIONBLUR-25.png,1,14.76458013,1557742475_435,9,0.675833536,1.047134448,1,119.7986666
0,0,"(53.12488092834638, 10.522947082177872)","(10.522947082177872, 53.124880928346386)",25,1,1523283985,46,53.12488093,10.52294708,0,0,"{""place_id"":117634172,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":180580586,""lat"":""53.1259762881529"",""lon"":""10.5205238113047"",""place_rank"":26,""category"":""highway"",""type"":""unclassified"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Burgstraße"",""display_name"":""Burgstraße, Bienenbüttel, Uelzen, Niedersachsen, 29553, Deutschland"",""address"":{""road"":""Burgstraße"",""village"":""Bienenbüttel"",""county"":""Uelzen"",""state"":""Niedersachsen"",""postcode"":""29553"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""53.1249293"",""53.1306701"",""10.5148092"",""10.5207234""]}",0.701140878,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",31,2.624663863,28.49491806,20243,TRUE,0.785559833,31,DARKNESS,DARKNESS,0,2018-04-09 14:26,1557743752_2657_UC2_DARKNESS-25.png,1,23.28405553,1557743752_2657,4,0.626683743,1.496007716,1,7.989547694
0,0,"(53.80898402099889, 8.131161269748972)","(8.131161269748972, 53.808984020998885)",75,2,1531361184,0,53.80898402,8.13116127,0,0,"{""place_id"":584577,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":240068813,""lat"":""53.467993"",""lon"":""8.0221914"",""place_rank"":12,""category"":""place"",""type"":""county"",""importance"":""0.357959931196063"",""addresstype"":""place"",""name"":""Friesland"",""display_name"":""Friesland, Niedersachsen, 26452, Deutschland"",""address"":{""county"":""Friesland"",""state"":""Niedersachsen"",""postcode"":""26452"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""52.187993"",""54.747993"",""6.7421914"",""9.3021914""]}",2.766008006,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",11,25.13788456,13.71304439,21900,TRUE,0.997874022,11,DARKNESS,DARKNESS,0,2018-07-12 02:06,1557744085_1448_UC2_DARKNESS-75.png,1,23.82779915,1557744085_1448,7,4.90945345,3.300972355,1,6.513700948
0,0,"(48.10435482329846, 9.88752641054175)","(9.887526410541751, 48.104354823298465)",0,0,1544768902,599,48.10435482,9.887526411,0,0,"{""place_id"":127769358,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":221078613,""lat"":""48.1042085466173"",""lon"":""9.88770452662611"",""place_rank"":26,""category"":""highway"",""type"":""unclassified"",""importance"":""0.1"",""addresstype"":""road"",""name"":null,""display_name"":""Unterschnaitbach, Verwaltungsgemeinschaft Biberach an der Riß, Landkreis Biberach, Regierungsbezirk Tübingen, Baden-Württemberg, 88437, Deutschland"",""address"":{""hamlet"":""Unterschnaitbach"",""county"":""Verwaltungsgemeinschaft Biberach an der Riß"",""state_district"":""Regierungsbezirk Tübingen"",""state"":""Baden-Württemberg"",""postcode"":""88437"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.0954979"",""48.1169317"",""9.8720365"",""9.889555""]}",1.577944902,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",21,111.4367079,-1.720133527,8902,TRUE,0.783763409,21,MOTIONBLUR,MOTIONBLUR,0,2018-12-14 06:28,1557742122_550_UC2_MOTIONBLUR-0.png,1,13.70227276,1557742122_550,12,2.793521424,4.807639623,1,55.42613134
25,1,"(51.74005071531969, 7.136127957284456)","(7.136127957284456, 51.74005071531969)",0,0,1533445488,58.5,51.74005072,7.136127957,0,0,"{""place_id"":97622797,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":101549424,""lat"":""51.7399365997979"",""lon"":""7.13586492653688"",""place_rank"":27,""category"":""highway"",""type"":""path"",""importance"":""0.075"",""addresstype"":""highway"",""name"":""Buschweg"",""display_name"":""Buschweg, Bergbossendorf, Holtwick, Haltern am See, Kreis Recklinghausen, Regierungsbezirk Münster, Nordrhein-Westfalen, 45721, Deutschland"",""address"":{""path"":""Buschweg"",""neighbourhood"":""Bergbossendorf"",""suburb"":""Holtwick"",""town"":""Haltern am See"",""county"":""Kreis Recklinghausen"",""state_district"":""Regierungsbezirk Münster"",""state"":""Nordrhein-Westfalen"",""postcode"":""45721"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.7393404"",""51.7404343"",""7.135649"",""7.1361449""]}",0.691647757,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",13,44.77237563,12.50025505,27923,TRUE,0.999998212,13,BACKLIGHTSUN,BACKLIGHTSUN,0,2018-08-05 05:04,1558446067_57_UC2_BACKLIGHTSUN-25.png,1,10.53874412,1558446067_57,8,0.308073918,52.14746223,1,14.30395161
0,0,"(51.95074097673648, 11.581288322901193)","(11.581288322901194, 51.950740976736476)",0,0,1524329641,88,51.95074098,11.58128832,0,0,"{""place_id"":133718233,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":246350900,""lat"":""51.9505561728239"",""lon"":""11.5813355272095"",""place_rank"":26,""category"":""highway"",""type"":""secondary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""L 69"",""display_name"":""L 69, Borne, Egelner Mulde, Salzlandkreis, Sachsen-Anhalt, 39435, Deutschland"",""address"":{""road"":""L 69"",""village"":""Borne"",""county"":""Egelner Mulde"",""state"":""Sachsen-Anhalt"",""postcode"":""39435"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.9483878"",""51.9576128"",""11.568844"",""11.6075232""]}",0.906829122,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",17,68.58056578,17.29849373,8157,TRUE,0.999915361,17,MOTIONBLUR,MOTIONBLUR,0,2018-04-21 16:54,1557742122_258_UC2_MOTIONBLUR-0.png,1,6.09610964,1557742122_258,4,0.644161602,3.773794574,1,77.06006451
0,0,"(53.214669601203525, 9.705819018263544)","(9.705819018263542, 53.214669601203525)",0,0,1546669675,41,53.2146696,9.705819018,0,0,"{""place_id"":865517,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":282844649,""lat"":""53.2019503"",""lon"":""9.7070485"",""place_rank"":19,""category"":""place"",""type"":""village"",""importance"":""0.275"",""addresstype"":""place"",""name"":""Horst"",""display_name"":""Horst, Heidekreis, Niedersachsen, Deutschland"",""address"":{""village"":""Horst"",""county"":""Heidekreis"",""state"":""Niedersachsen"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""53.1619503"",""53.2419503"",""9.6670485"",""9.7470485""]}",2.870506347,0,0,road,0.833333333,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",30,56.58197991,-7.251716773,17173,TRUE,0.998147607,30,DARKNESS,DARKNESS,0,2019-01-05 06:27,1557743423_2594_UC2_DARKNESS-0.png,1,23.08103656,1557743423_2594,1,3.626818598,1.519376631,0.5,5.098957354
0,0,"(51.4284255453191, 10.161540002390538)","(10.161540002390538, 51.4284255453191)",0,0,1546279398,320.5,51.42842555,10.16154,0,0,"{""place_id"":90875866,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":61999338,""lat"":""51.4293035965623"",""lon"":""10.16203822957"",""place_rank"":26,""category"":""highway"",""type"":""tertiary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""K 239"",""display_name"":""K 239, Glasehausen, Leinetal, Landkreis Eichsfeld, Thüringen, 37308, Deutschland"",""address"":{""road"":""K 239"",""village"":""Glasehausen"",""county"":""Landkreis Eichsfeld"",""state"":""Thüringen"",""postcode"":""37308"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.4249946"",""51.4380581"",""10.1560828"",""10.1643683""]}",0.968187052,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",9,128.8395908,3.501600483,7498,TRUE,1,9,MOTIONBLUR,MOTIONBLUR,0,2018-12-31 18:03,1557742122_1987_UC2_MOTIONBLUR-0.png,1,12.94699209,1557742122_1987,12,2.997892948,2.002326066,1,79.29377123
0,0,"(48.00582692928722, 12.682536339921167)","(12.682536339921167, 48.00582692928722)",0,0,1539912305,546,48.00582693,12.68253634,75,2,"{""place_id"":110271271,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":150645901,""lat"":""48.0050038464918"",""lon"":""12.6826874725298"",""place_rank"":26,""category"":""highway"",""type"":""secondary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""St 2093"",""display_name"":""St 2093, Schwank, Palling, Landkreis Traunstein, Obb, Bayern, 83349, Deutschland"",""address"":{""road"":""St 2093"",""suburb"":""Schwank"",""village"":""Palling"",""county"":""Landkreis Traunstein"",""state_district"":""Obb"",""state"":""Bayern"",""postcode"":""83349"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.0038347"",""48.0186945"",""12.6733206"",""12.7149205""]}",0,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",4,40.29813525,7.576471564,12584,FALSE,0.338886619,2,MOTIONBLUR,MOTIONBLUR,0,2018-10-19 01:25,1557742802_1163_UC2_MOTIONBLUR-75.png,1,13.13801591,1557742802_1163,10,3.214931987,1.456637632,1,41.76822887
0,0,"(52.95954271807191, 9.197214851252957)","(9.197214851252957, 52.95954271807191)",0,0,1544158351,11,52.95954272,9.197214851,75,2,"{""place_id"":148431056,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":315199230,""lat"":""52.9561522"",""lon"":""9.19689394935406"",""place_rank"":30,""category"":""natural"",""type"":""water"",""importance"":""0"",""addresstype"":""natural"",""name"":""Eisseler See"",""display_name"":""Eisseler See, Seekante, Eissel bei Verden, Verden, Landkreis Verden, Niedersachsen, 27283, Deutschland"",""address"":{""water"":""Eisseler See"",""road"":""Seekante"",""village"":""Eissel bei Verden"",""city"":""Verden"",""county"":""Landkreis Verden"",""state"":""Niedersachsen"",""postcode"":""27283"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""52.9540713"",""52.9582125"",""9.1944175"",""9.1974329""]}",0.905509809,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",25,106.9977748,7.747969173,13743,TRUE,0.148512974,25,MOTIONBLUR,MOTIONBLUR,0,2018-12-07 04:52,1557742802_2206_UC2_MOTIONBLUR-75.png,1,13.53655617,1557742802_2206,12,4.410108321,3.61562518,1,70.68701642
